,subject,task_number,cross_val_score,lda_name,baseline_corrected,csp_n_components
0,2,2,0.9230769230769231,classic,,4
0,3,2,0.6714285714285715,classic,,4
0,4,2,0.9571428571428571,classic,,4
0,5,2,0.8428571428571429,classic,,4
0,6,2,0.85,classic,,4
0,7,2,0.9857142857142858,classic,,4
0,8,2,0.9071428571428573,classic,,4
0,9,2,0.9857142857142858,classic,,4
0,10,2,0.9642857142857142,classic,,4
0,11,2,0.6500000000000001,classic,,4
0,12,2,0.9714285714285715,classic,,4
0,13,2,0.8142857142857143,classic,,4
0,14,2,0.9692307692307693,classic,,4
0,15,2,0.9928571428571429,classic,,4
0,16,2,0.9142857142857143,classic,,4
0,17,2,0.9142857142857143,classic,,4
0,18,2,0.9214285714285715,classic,,4
0,19,2,0.8571428571428571,classic,,4
0,20,2,0.7,classic,,4
0,1,3,0.8307692307692308,classic,,4
0,2,3,0.55,classic,,4
0,3,3,0.7384615384615385,classic,,4
0,4,3,0.9285714285714286,classic,,4
0,5,3,0.6785714285714286,classic,,4
0,6,3,0.5071428571428571,classic,,4
0,7,3,0.9285714285714286,classic,,4
0,8,3,0.9142857142857143,classic,,4
0,9,3,0.5714285714285714,classic,,4
0,10,3,0.8357142857142856,classic,,4
0,11,3,0.7071428571428571,classic,,4
0,12,3,0.8285714285714285,classic,,4
0,13,3,0.8571428571428571,classic,,4
0,14,3,0.7,classic,,4
0,15,3,0.9142857142857144,classic,,4
0,16,3,0.6857142857142857,classic,,4
0,17,3,0.7714285714285714,classic,,4
0,18,3,0.7357142857142858,classic,,4
0,19,3,0.5642857142857143,classic,,4
0,20,3,0.7714285714285715,classic,,4
0,1,0,0.8642857142857142,classic,1.0,6
0,2,0,0.85,classic,1.0,6
0,3,0,0.6642857142857144,classic,1.0,6
0,4,0,0.9714285714285715,classic,1.0,6
0,5,0,0.95,classic,1.0,6
0,6,0,0.8714285714285713,classic,1.0,6
0,7,0,0.9285714285714286,classic,1.0,6
0,8,0,0.8642857142857142,classic,1.0,6
0,9,0,0.9428571428571428,classic,1.0,6
0,10,0,0.7571428571428571,classic,1.0,6
0,11,0,0.7214285714285713,classic,1.0,6
0,12,0,0.9642857142857142,classic,1.0,6
0,13,0,0.9642857142857142,classic,1.0,6
0,14,0,0.9642857142857142,classic,1.0,6
0,15,0,0.9642857142857142,classic,1.0,6
0,16,0,0.8428571428571429,classic,1.0,6
0,17,0,0.8714285714285716,classic,1.0,6
0,18,0,0.9071428571428571,classic,1.0,6
0,19,0,0.8571428571428571,classic,1.0,6
0,20,0,0.8307692307692307,classic,1.0,6
0,1,1,0.6071428571428571,classic,1.0,6
0,2,1,0.8357142857142856,classic,1.0,6
0,3,1,0.7428571428571429,classic,1.0,6
0,4,1,0.9714285714285715,classic,1.0,6
0,5,1,0.6923076923076923,classic,1.0,6
0,6,1,0.5857142857142857,classic,1.0,6
0,7,1,0.8214285714285714,classic,1.0,6
0,8,1,0.7142857142857142,classic,1.0,6
0,9,1,0.5571428571428572,classic,1.0,6
0,10,1,0.6642857142857143,classic,1.0,6
0,11,1,0.6499999999999999,classic,1.0,6
0,12,1,0.7615384615384617,classic,1.0,6
0,13,1,0.8,classic,1.0,6
0,14,1,0.6571428571428573,classic,1.0,6
0,15,1,0.8714285714285713,classic,1.0,6
0,16,1,0.6357142857142858,classic,1.0,6
0,17,1,0.7714285714285714,classic,1.0,6
0,18,1,0.6357142857142857,classic,1.0,6
0,19,1,0.6,classic,1.0,6
0,20,1,0.8214285714285714,classic,1.0,6
0,1,2,0.9785714285714286,classic,1.0,6
0,2,2,0.9,classic,1.0,6
0,3,2,0.7142857142857142,classic,1.0,6
0,4,2,0.9571428571428571,classic,1.0,6
0,5,2,0.9,classic,1.0,6
0,6,2,0.8857142857142858,classic,1.0,6
0,7,2,0.9714285714285715,classic,1.0,6
0,8,2,0.9714285714285715,classic,1.0,6
0,9,2,0.9785714285714286,classic,1.0,6
0,10,2,0.9571428571428571,classic,1.0,6
0,11,2,0.7428571428571429,classic,1.0,6
0,12,2,0.9714285714285715,classic,1.0,6
0,13,2,0.8357142857142857,classic,1.0,6
0,14,2,0.9538461538461538,classic,1.0,6
0,15,2,0.9714285714285715,classic,1.0,6
0,16,2,0.9428571428571428,classic,1.0,6
0,17,2,0.8642857142857142,classic,1.0,6
0,18,2,0.9142857142857144,classic,1.0,6
0,19,2,0.8071428571428572,classic,1.0,6
0,20,2,0.7846153846153846,classic,1.0,6
0,1,3,0.8307692307692308,classic,1.0,6
0,2,3,0.6714285714285715,classic,1.0,6
0,3,3,0.6615384615384616,classic,1.0,6
0,4,3,0.9071428571428573,classic,1.0,6
0,5,3,0.7,classic,1.0,6
0,6,3,0.55,classic,1.0,6
0,7,3,0.9071428571428571,classic,1.0,6
0,8,3,0.7642857142857143,classic,1.0,6
0,9,3,0.6214285714285716,classic,1.0,6
0,10,3,0.7642857142857142,classic,1.0,6
0,11,3,0.7571428571428571,classic,1.0,6
0,12,3,0.8928571428571429,classic,1.0,6
0,13,3,0.8571428571428571,classic,1.0,6
0,14,3,0.75,classic,1.0,6
0,15,3,0.8857142857142858,classic,1.0,6
0,16,3,0.6857142857142857,classic,1.0,6
0,17,3,0.7857142857142858,classic,1.0,6
0,18,3,0.8071428571428572,classic,1.0,6
0,19,3,0.6285714285714287,classic,1.0,6
0,20,3,0.7999999999999999,classic,1.0,6
0,1,0,0.8357142857142857,classic,,6
0,2,0,0.9214285714285715,classic,,6
0,3,0,0.8071428571428572,classic,,6
0,4,0,0.9785714285714286,classic,,6
0,5,0,0.95,classic,,6
0,6,0,0.8428571428571427,classic,,6
0,7,0,0.8642857142857142,classic,,6
0,8,0,0.9571428571428571,classic,,6
0,9,0,0.9285714285714286,classic,,6
0,10,0,0.7642857142857142,classic,,6
0,11,0,0.75,classic,,6
0,12,0,0.9142857142857143,classic,,6
0,13,0,0.9642857142857142,classic,,6
0,14,0,0.95,classic,,6
0,15,0,0.95,classic,,6
0,16,0,0.8928571428571429,classic,,6
0,17,0,0.9428571428571428,classic,,6
0,18,0,0.9285714285714286,classic,,6
0,19,0,0.8642857142857142,classic,,6
0,20,0,0.7538461538461538,classic,,6
0,1,1,0.6714285714285715,classic,,6
0,2,1,0.8214285714285714,classic,,6
0,3,1,0.7,classic,,6
0,4,1,0.9928571428571429,classic,,6
0,5,1,0.6538461538461539,classic,,6
0,6,1,0.5857142857142856,classic,,6
0,7,1,0.7500000000000001,classic,,6
0,8,1,0.7357142857142857,classic,,6
0,9,1,0.5857142857142856,classic,,6
0,10,1,0.6714285714285715,classic,,6
0,11,1,0.6714285714285715,classic,,6
0,12,1,0.7384615384615384,classic,,6
0,13,1,0.8214285714285714,classic,,6
0,14,1,0.7285714285714286,classic,,6
0,15,1,0.8928571428571429,classic,,6
0,16,1,0.65,classic,,6
0,17,1,0.7785714285714285,classic,,6
0,18,1,0.7071428571428571,classic,,6
0,19,1,0.6142857142857143,classic,,6
0,20,1,0.8142857142857143,classic,,6
0,1,2,0.95,classic,,6
0,2,2,0.8846153846153847,classic,,6
0,3,2,0.6571428571428573,classic,,6
0,4,2,0.9357142857142857,classic,,6
0,5,2,0.9071428571428573,classic,,6
0,6,2,0.8928571428571427,classic,,6
0,7,2,0.9642857142857142,classic,,6
0,8,2,0.9571428571428573,classic,,6
0,9,2,0.9642857142857142,classic,,6
0,10,2,0.9357142857142857,classic,,6
0,11,2,0.6714285714285715,classic,,6
0,12,2,0.9357142857142857,classic,,6
0,13,2,0.8071428571428572,classic,,6
0,14,2,0.9461538461538461,classic,,6
0,15,2,0.9857142857142858,classic,,6
0,16,2,0.8857142857142856,classic,,6
0,17,2,0.8142857142857144,classic,,6
0,18,2,0.9142857142857143,classic,,6
0,19,2,0.8642857142857142,classic,,6
0,20,2,0.7307692307692308,classic,,6
0,1,3,0.8461538461538461,classic,,6
0,2,3,0.6714285714285715,classic,,6
0,3,3,0.7307692307692307,classic,,6
0,4,3,0.9285714285714286,classic,,6
0,5,3,0.5857142857142856,classic,,6
0,6,3,0.592857142857143,classic,,6
0,7,3,0.9,classic,,6
0,8,3,0.7928571428571429,classic,,6
0,9,3,0.65,classic,,6
0,10,3,0.7928571428571429,classic,,6
0,11,3,0.7785714285714286,classic,,6
0,12,3,0.9,classic,,6
0,13,3,0.7785714285714286,classic,,6
0,14,3,0.7642857142857142,classic,,6
0,15,3,0.9,classic,,6
0,16,3,0.6928571428571428,classic,,6
0,17,3,0.85,classic,,6
0,18,3,0.7714285714285715,classic,,6
0,19,3,0.5571428571428572,classic,,6
0,20,3,0.7642857142857143,classic,,6
0,1,0,0.8357142857142857,shrimp,1.0,4
0,2,0,0.8071428571428572,shrimp,1.0,4
0,3,0,0.7071428571428572,shrimp,1.0,4
0,4,0,0.9857142857142858,shrimp,1.0,4
0,5,0,0.9428571428571428,shrimp,1.0,4
0,6,0,0.8214285714285715,shrimp,1.0,4
0,7,0,0.85,shrimp,1.0,4
0,8,0,0.8571428571428571,shrimp,1.0,4
0,9,0,0.9142857142857143,shrimp,1.0,4
0,10,0,0.7571428571428571,shrimp,1.0,4
0,11,0,0.7642857142857143,shrimp,1.0,4
0,12,0,0.9357142857142857,shrimp,1.0,4
0,13,0,0.9785714285714286,shrimp,1.0,4
0,14,0,0.9928571428571429,shrimp,1.0,4
0,15,0,0.9642857142857144,shrimp,1.0,4
0,16,0,0.8285714285714286,shrimp,1.0,4
0,17,0,0.9071428571428571,shrimp,1.0,4
0,18,0,0.9142857142857144,shrimp,1.0,4
0,19,0,0.8428571428571429,shrimp,1.0,4
0,20,0,0.8076923076923077,shrimp,1.0,4
0,1,1,0.7142857142857143,shrimp,1.0,4
0,2,1,0.8285714285714286,shrimp,1.0,4
0,3,1,0.7714285714285714,shrimp,1.0,4
0,4,1,0.9714285714285715,shrimp,1.0,4
0,5,1,0.6538461538461539,shrimp,1.0,4
0,6,1,0.6071428571428572,shrimp,1.0,4
0,7,1,0.8,shrimp,1.0,4
0,8,1,0.6857142857142857,shrimp,1.0,4
0,9,1,0.6357142857142858,shrimp,1.0,4
0,10,1,0.6857142857142858,shrimp,1.0,4
0,11,1,0.6642857142857144,shrimp,1.0,4
0,12,1,0.7538461538461538,shrimp,1.0,4
0,13,1,0.8071428571428572,shrimp,1.0,4
0,14,1,0.7142857142857144,shrimp,1.0,4
0,15,1,0.9,shrimp,1.0,4
0,16,1,0.6571428571428573,shrimp,1.0,4
0,17,1,0.7714285714285715,shrimp,1.0,4
0,18,1,0.6714285714285715,shrimp,1.0,4
0,19,1,0.5857142857142856,shrimp,1.0,4
0,20,1,0.7928571428571428,shrimp,1.0,4
0,1,2,0.9785714285714284,shrimp,1.0,4
0,2,2,0.8692307692307694,shrimp,1.0,4
0,3,2,0.7,shrimp,1.0,4
0,4,2,0.9285714285714286,shrimp,1.0,4
0,5,2,0.8857142857142858,shrimp,1.0,4
0,6,2,0.9071428571428571,shrimp,1.0,4
0,7,2,0.9714285714285715,shrimp,1.0,4
0,8,2,0.9142857142857143,shrimp,1.0,4
0,9,2,0.9714285714285715,shrimp,1.0,4
0,10,2,0.9714285714285715,shrimp,1.0,4
0,11,2,0.7642857142857142,shrimp,1.0,4
0,12,2,0.9785714285714286,shrimp,1.0,4
0,13,2,0.8642857142857142,shrimp,1.0,4
0,14,2,0.9692307692307693,shrimp,1.0,4
0,15,2,0.9857142857142858,shrimp,1.0,4
0,16,2,0.95,shrimp,1.0,4
0,17,2,0.9,shrimp,1.0,4
0,18,2,0.9071428571428573,shrimp,1.0,4
0,19,2,0.8928571428571427,shrimp,1.0,4
0,20,2,0.7846153846153846,shrimp,1.0,4
0,1,3,0.923076923076923,shrimp,1.0,4
0,2,3,0.6214285714285713,shrimp,1.0,4
0,3,3,0.7692307692307693,shrimp,1.0,4
0,4,3,0.8928571428571427,shrimp,1.0,4
0,5,3,0.6857142857142857,shrimp,1.0,4
0,6,3,0.6,shrimp,1.0,4
0,7,3,0.9142857142857143,shrimp,1.0,4
0,8,3,0.8857142857142856,shrimp,1.0,4
0,9,3,0.5714285714285714,shrimp,1.0,4
0,10,3,0.8214285714285714,shrimp,1.0,4
0,11,3,0.7357142857142857,shrimp,1.0,4
0,12,3,0.8357142857142856,shrimp,1.0,4
0,13,3,0.9,shrimp,1.0,4
0,14,3,0.7071428571428571,shrimp,1.0,4
0,15,3,0.8785714285714284,shrimp,1.0,4
0,16,3,0.6928571428571428,shrimp,1.0,4
0,17,3,0.7999999999999999,shrimp,1.0,4
0,18,3,0.8214285714285714,shrimp,1.0,4
0,19,3,0.48571428571428577,shrimp,1.0,4
0,20,3,0.7071428571428571,shrimp,1.0,4
0,1,0,0.8214285714285714,shrimp,,4
0,2,0,0.8571428571428571,shrimp,,4
0,3,0,0.6785714285714286,shrimp,,4
0,4,0,0.9785714285714286,shrimp,,4
0,5,0,0.9642857142857142,shrimp,,4
0,6,0,0.8428571428571429,shrimp,,4
0,7,0,0.8642857142857142,shrimp,,4
0,8,0,0.8928571428571429,shrimp,,4
0,9,0,0.9071428571428571,shrimp,,4
0,10,0,0.8,shrimp,,4
0,11,0,0.7214285714285714,shrimp,,4
0,12,0,0.9785714285714286,shrimp,,4
0,13,0,0.9857142857142858,shrimp,,4
0,14,0,0.9571428571428571,shrimp,,4
0,15,0,0.9714285714285713,shrimp,,4
0,16,0,0.8214285714285714,shrimp,,4
0,17,0,0.9357142857142857,shrimp,,4
0,18,0,0.8928571428571427,shrimp,,4
0,19,0,0.7857142857142856,shrimp,,4
0,20,0,0.7461538461538463,shrimp,,4
0,1,1,0.7785714285714286,shrimp,,4
0,2,1,0.8999999999999998,shrimp,,4
0,3,1,0.75,shrimp,,4
0,4,1,0.9785714285714286,shrimp,,4
0,5,1,0.7461538461538462,shrimp,,4
0,6,1,0.5142857142857143,shrimp,,4
0,7,1,0.8214285714285715,shrimp,,4
0,8,1,0.6571428571428573,shrimp,,4
0,9,1,0.5642857142857143,shrimp,,4
0,10,1,0.65,shrimp,,4
0,11,1,0.6428571428571429,shrimp,,4
0,12,1,0.7384615384615384,shrimp,,4
0,13,1,0.7857142857142856,shrimp,,4
0,14,1,0.7571428571428571,shrimp,,4
0,15,1,0.8857142857142858,shrimp,,4
0,16,1,0.5285714285714287,shrimp,,4
0,17,1,0.8428571428571429,shrimp,,4
0,18,1,0.7357142857142858,shrimp,,4
0,19,1,0.65,shrimp,,4
0,20,1,0.7785714285714285,shrimp,,4
0,1,2,0.95,shrimp,,4
0,2,2,0.8846153846153845,shrimp,,4
0,3,2,0.6357142857142859,shrimp,,4
0,4,2,0.9214285714285714,shrimp,,4
0,5,2,0.8928571428571427,shrimp,,4
0,6,2,0.85,shrimp,,4
0,7,2,0.9928571428571429,shrimp,,4
0,8,2,0.9357142857142857,shrimp,,4
0,9,2,0.9857142857142858,shrimp,,4
0,10,2,0.9571428571428571,shrimp,,4
0,11,2,0.7571428571428571,shrimp,,4
0,12,2,0.9642857142857144,shrimp,,4
0,13,2,0.8571428571428571,shrimp,,4
0,14,2,0.976923076923077,shrimp,,4
0,15,2,0.9928571428571429,shrimp,,4
0,16,2,0.9285714285714285,shrimp,,4
0,17,2,0.9,shrimp,,4
0,18,2,0.9285714285714286,shrimp,,4
0,19,2,0.8714285714285713,shrimp,,4
0,20,2,0.7230769230769231,shrimp,,4
0,1,3,0.8615384615384615,shrimp,,4
0,2,3,0.6214285714285714,shrimp,,4
0,3,3,0.7538461538461538,shrimp,,4
0,4,3,0.9428571428571428,shrimp,,4
0,5,3,0.6357142857142858,shrimp,,4
0,6,3,0.6071428571428571,shrimp,,4
0,7,3,0.8857142857142858,shrimp,,4
0,8,3,0.7928571428571429,shrimp,,4
0,9,3,0.5785714285714285,shrimp,,4
0,10,3,0.7999999999999999,shrimp,,4
0,11,3,0.7071428571428571,shrimp,,4
0,12,3,0.8142857142857143,shrimp,,4
0,13,3,0.8214285714285714,shrimp,,4
0,14,3,0.7,shrimp,,4
0,15,3,0.8428571428571429,shrimp,,4
0,16,3,0.6857142857142857,shrimp,,4
0,17,3,0.7928571428571429,shrimp,,4
0,18,3,0.7071428571428572,shrimp,,4
0,19,3,0.6571428571428571,shrimp,,4
0,20,3,0.8,shrimp,,4
0,1,0,0.8071428571428572,shrimp,1.0,6
0,2,0,0.7857142857142857,shrimp,1.0,6
0,3,0,0.7214285714285715,shrimp,1.0,6
0,4,0,0.9642857142857144,shrimp,1.0,6
0,5,0,0.9714285714285715,shrimp,1.0,6
0,6,0,0.8214285714285715,shrimp,1.0,6
0,7,0,0.9071428571428573,shrimp,1.0,6
0,8,0,0.9357142857142857,shrimp,1.0,6
0,9,0,0.9142857142857143,shrimp,1.0,6
0,10,0,0.7857142857142858,shrimp,1.0,6
0,11,0,0.7285714285714286,shrimp,1.0,6
0,12,0,0.9214285714285715,shrimp,1.0,6
0,13,0,0.9714285714285715,shrimp,1.0,6
0,14,0,0.9571428571428571,shrimp,1.0,6
0,15,0,0.9642857142857142,shrimp,1.0,6
0,16,0,0.8214285714285714,shrimp,1.0,6
0,17,0,0.9571428571428571,shrimp,1.0,6
0,18,0,0.9285714285714286,shrimp,1.0,6
0,19,0,0.7785714285714286,shrimp,1.0,6
0,20,0,0.8846153846153847,shrimp,1.0,6
0,1,1,0.6857142857142857,shrimp,1.0,6
0,2,1,0.8785714285714287,shrimp,1.0,6
0,3,1,0.75,shrimp,1.0,6
0,4,1,0.9928571428571429,shrimp,1.0,6
0,5,1,0.6846153846153846,shrimp,1.0,6
0,6,1,0.5,shrimp,1.0,6
0,7,1,0.7928571428571429,shrimp,1.0,6
0,8,1,0.7071428571428572,shrimp,1.0,6
0,9,1,0.5928571428571427,shrimp,1.0,6
0,10,1,0.5857142857142857,shrimp,1.0,6
0,11,1,0.5857142857142856,shrimp,1.0,6
0,12,1,0.7384615384615384,shrimp,1.0,6
0,13,1,0.7999999999999999,shrimp,1.0,6
0,14,1,0.7214285714285714,shrimp,1.0,6
0,15,1,0.8928571428571429,shrimp,1.0,6
0,16,1,0.6714285714285715,shrimp,1.0,6
0,17,1,0.8214285714285715,shrimp,1.0,6
0,18,1,0.6214285714285714,shrimp,1.0,6
0,19,1,0.6214285714285714,shrimp,1.0,6
0,20,1,0.8357142857142857,shrimp,1.0,6
0,1,2,0.9785714285714284,shrimp,1.0,6
0,2,2,0.9538461538461538,shrimp,1.0,6
0,3,2,0.65,shrimp,1.0,6
0,4,2,0.9642857142857144,shrimp,1.0,6
0,5,2,0.9,shrimp,1.0,6
0,6,2,0.8428571428571429,shrimp,1.0,6
0,7,2,0.9857142857142858,shrimp,1.0,6
0,8,2,0.9142857142857143,shrimp,1.0,6
0,9,2,0.9928571428571429,shrimp,1.0,6
0,10,2,0.9285714285714286,shrimp,1.0,6
0,11,2,0.7642857142857143,shrimp,1.0,6
0,12,2,0.95,shrimp,1.0,6
0,13,2,0.8428571428571429,shrimp,1.0,6
0,14,2,0.976923076923077,shrimp,1.0,6
0,15,2,0.9857142857142858,shrimp,1.0,6
0,16,2,0.9428571428571428,shrimp,1.0,6
0,17,2,0.9214285714285715,shrimp,1.0,6
0,18,2,0.9285714285714286,shrimp,1.0,6
0,19,2,0.8642857142857142,shrimp,1.0,6
0,20,2,0.7846153846153847,shrimp,1.0,6
0,1,3,0.9000000000000001,shrimp,1.0,6
0,2,3,0.5928571428571427,shrimp,1.0,6
0,3,3,0.6923076923076923,shrimp,1.0,6
0,4,3,0.9428571428571428,shrimp,1.0,6
0,5,3,0.6428571428571429,shrimp,1.0,6
0,6,3,0.5642857142857143,shrimp,1.0,6
0,7,3,0.9,shrimp,1.0,6
0,8,3,0.8,shrimp,1.0,6
0,9,3,0.6571428571428571,shrimp,1.0,6
0,10,3,0.8,shrimp,1.0,6
0,11,3,0.6714285714285715,shrimp,1.0,6
0,12,3,0.8571428571428571,shrimp,1.0,6
0,13,3,0.8499999999999999,shrimp,1.0,6
0,14,3,0.7285714285714284,shrimp,1.0,6
0,15,3,0.8428571428571429,shrimp,1.0,6
0,16,3,0.6642857142857144,shrimp,1.0,6
0,17,3,0.8428571428571429,shrimp,1.0,6
0,18,3,0.7428571428571429,shrimp,1.0,6
0,19,3,0.6214285714285714,shrimp,1.0,6
0,20,3,0.75,shrimp,1.0,6
0,1,0,0.8071428571428572,shrimp,,6
0,2,0,0.8714285714285713,shrimp,,6
0,3,0,0.6928571428571428,shrimp,,6
0,4,0,0.9714285714285715,shrimp,,6
0,5,0,0.9428571428571428,shrimp,,6
0,6,0,0.8642857142857142,shrimp,,6
0,7,0,0.9071428571428571,shrimp,,6
0,8,0,0.9285714285714286,shrimp,,6
0,9,0,0.9,shrimp,,6
0,10,0,0.7857142857142857,shrimp,,6
0,11,0,0.7142857142857142,shrimp,,6
0,12,0,0.9571428571428571,shrimp,,6
0,13,0,0.9785714285714286,shrimp,,6
0,14,0,0.9642857142857144,shrimp,,6
0,15,0,0.9642857142857142,shrimp,,6
0,16,0,0.85,shrimp,,6
0,17,0,0.95,shrimp,,6
0,18,0,0.9142857142857144,shrimp,,6
0,19,0,0.8357142857142856,shrimp,,6
0,20,0,0.8461538461538461,shrimp,,6
0,1,1,0.6571428571428573,shrimp,,6
0,2,1,0.8571428571428573,shrimp,,6
0,3,1,0.6785714285714286,shrimp,,6
0,4,1,0.9857142857142858,shrimp,,6
0,5,1,0.6461538461538463,shrimp,,6
0,6,1,0.4714285714285714,shrimp,,6
0,7,1,0.8071428571428572,shrimp,,6
0,8,1,0.7214285714285715,shrimp,,6
0,9,1,0.55,shrimp,,6
0,10,1,0.6357142857142858,shrimp,,6
0,11,1,0.6642857142857144,shrimp,,6
0,12,1,0.8307692307692308,shrimp,,6
0,13,1,0.8428571428571429,shrimp,,6
0,14,1,0.75,shrimp,,6
0,15,1,0.8785714285714284,shrimp,,6
0,16,1,0.6428571428571429,shrimp,,6
0,17,1,0.7857142857142858,shrimp,,6
0,18,1,0.6785714285714286,shrimp,,6
0,19,1,0.5357142857142858,shrimp,,6
0,20,1,0.8357142857142857,shrimp,,6
0,1,2,0.9642857142857142,shrimp,,6
0,2,2,0.8615384615384615,shrimp,,6
0,3,2,0.7071428571428571,shrimp,,6
0,4,2,0.9285714285714285,shrimp,,6
0,5,2,0.9142857142857143,shrimp,,6
