,subject,task_number,cross_val_score,training_score
0,1,0,0.6888888888888889,1.0
0,2,0,0.7555555555555555,0.7777777777777778
0,3,0,0.5166666666666666,0.7777777777777778
0,4,0,0.8277777777777777,1.0
0,5,0,0.7222222222222222,1.0
0,6,0,0.6944444444444444,0.8888888888888888
0,7,0,0.861111111111111,0.7777777777777778
0,8,0,0.7222222222222221,1.0
0,9,0,0.7166666666666667,0.8888888888888888
0,10,0,0.55,1.0
0,11,0,0.4833333333333334,0.7777777777777778
0,12,0,0.8722222222222221,1.0
0,13,0,0.7666666666666667,0.8888888888888888
0,14,0,0.6944444444444444,0.7777777777777778
0,15,0,0.7722222222222221,1.0
0,16,0,0.7,1.0
0,17,0,0.6166666666666666,0.8888888888888888
0,18,0,0.638888888888889,1.0
0,19,0,0.8333333333333333,0.8888888888888888
0,20,0,0.5888888888888889,0.7777777777777778
0,21,0,0.7055555555555555,0.8888888888888888
0,22,0,0.9166666666666667,0.8888888888888888
0,23,0,0.7722222222222224,0.8888888888888888
0,24,0,0.7,0.8888888888888888
0,25,0,0.861111111111111,1.0
0,26,0,0.8111111111111111,1.0
0,27,0,0.6444444444444445,0.5555555555555556
0,28,0,0.7055555555555555,1.0
0,29,0,0.9166666666666666,1.0
0,30,0,0.5555555555555556,0.6666666666666666
0,31,0,0.7611111111111111,1.0
0,32,0,0.9833333333333332,1.0
0,33,0,0.7944444444444445,1.0
0,34,0,0.8235294117647058,0.8888888888888888
0,35,0,0.7777777777777779,1.0
0,36,0,0.6833333333333333,0.7777777777777778
0,37,0,0.7058823529411764,1.0
0,38,0,0.6055555555555556,0.6666666666666666
0,39,0,0.6222222222222221,1.0
0,40,0,0.5666666666666667,1.0
0,41,0,0.6764705882352942,0.6666666666666666
0,42,0,0.9833333333333334,1.0
0,43,0,0.6888888888888889,0.7777777777777778
0,44,0,0.711111111111111,0.7777777777777778
0,45,0,0.8666666666666666,1.0
0,46,0,0.7611111111111112,0.6666666666666666
0,47,0,0.6833333333333333,0.7777777777777778
0,48,0,0.7333333333333334,1.0
0,49,0,0.95,1.0
0,50,0,0.7888888888888889,1.0
0,51,0,0.6176470588235294,1.0
0,52,0,0.6777777777777778,0.8888888888888888
0,53,0,0.6722222222222222,0.8888888888888888
0,54,0,0.9,1.0
0,55,0,0.6722222222222223,1.0
0,56,0,0.888888888888889,1.0
0,57,0,0.8944444444444445,0.7777777777777778
0,58,0,0.7666666666666667,1.0
0,59,0,0.638888888888889,1.0
0,60,0,0.7666666666666668,0.8888888888888888
0,61,0,0.7777777777777779,0.8888888888888888
0,62,0,0.6611111111111111,0.7777777777777778
0,63,0,0.5611111111111111,0.7777777777777778
0,64,0,0.7470588235294118,0.8888888888888888
0,65,0,0.5611111111111111,1.0
0,66,0,0.4666666666666666,0.7777777777777778
0,67,0,0.4444444444444445,0.5555555555555556
0,68,0,0.7666666666666666,0.8888888888888888
0,69,0,0.6833333333333333,1.0
0,70,0,0.55,1.0
0,71,0,0.7444444444444444,1.0
0,72,0,0.6411764705882353,0.8888888888888888
0,73,0,0.5882352941176471,0.8888888888888888
0,74,0,0.6176470588235294,0.8888888888888888
0,75,0,0.65,0.8888888888888888
0,76,0,0.7823529411764706,1.0
0,77,0,0.6611111111111112,0.8888888888888888
0,78,0,0.4833333333333334,0.6666666666666666
0,79,0,0.7222222222222223,0.6666666666666666
0,80,0,0.5611111111111111,0.8888888888888888
0,81,0,0.7944444444444445,1.0
0,82,0,0.6111111111111112,0.7777777777777778
0,83,0,0.9055555555555556,1.0
0,84,0,0.45555555555555555,0.5555555555555556
0,85,0,0.6166666666666666,1.0
0,86,0,0.4166666666666667,0.4444444444444444
0,87,0,0.6833333333333333,1.0
0,88,0,0.33478260869565213,0.5833333333333334
0,89,0,0.8285714285714285,0.9090909090909091
0,90,0,0.5555555555555556,0.7777777777777778
0,91,0,0.8277777777777778,1.0
0,92,0,0.3347826086956522,0.5833333333333334
0,93,0,0.5444444444444444,0.8888888888888888
0,94,0,0.9444444444444444,1.0
0,95,0,0.46111111111111114,1.0
0,96,0,0.45,0.4444444444444444
0,97,0,0.55,0.6666666666666666
0,98,0,0.6444444444444445,0.6666666666666666
0,99,0,0.6944444444444444,0.5555555555555556
0,100,0,0.6214285714285714,0.7142857142857143
0,101,0,0.5555555555555556,0.8888888888888888
0,102,0,0.7647058823529412,0.7777777777777778
0,103,0,0.6666666666666666,0.8888888888888888
0,104,0,0.7,0.6666666666666666
0,105,0,0.9666666666666666,1.0
0,106,0,0.4,0.7777777777777778
0,107,0,0.41666666666666663,0.2222222222222222
0,108,0,0.7777777777777779,1.0
0,1,1,0.5222222222222221,0.7777777777777778
0,2,1,0.65,1.0
0,3,1,0.5333333333333333,0.8888888888888888
0,4,1,0.8111111111111111,0.7777777777777778
0,5,1,0.4833333333333334,1.0
0,6,1,0.3777777777777778,0.6666666666666666
0,7,1,0.8111111111111111,1.0
0,8,1,0.42777777777777776,0.7777777777777778
0,9,1,0.3666666666666666,1.0
0,10,1,0.3833333333333333,0.7777777777777778
